path,true_label,prob_model_A,prob_model_B,pred_A,pred_B
..\TB_Chest_Radiography_Database\Normal\Normal-1.png,Normal,7.223252396215685e-06,0.7436553,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-10.png,Normal,2.5318224288639612e-05,0.0003881602,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-100.png,Normal,9.224349923897535e-06,0.89460737,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1000.png,Normal,0.000127247505588457,0.0027071678,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1001.png,Normal,8.555498425266705e-06,0.042583812,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1002.png,Normal,0.0015495514962822199,0.009103613,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1003.png,Normal,2.1596806618617848e-05,0.016301425,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1004.png,Normal,6.898213769090944e-07,1.9195468e-05,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1005.png,Normal,7.160002496675588e-06,0.48823518,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1006.png,Normal,0.00031639181543141603,0.00046665536,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1007.png,Normal,1.6175335986190476e-05,0.0015701678,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1008.png,Normal,4.388113211462041e-06,0.12178263,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1009.png,Normal,1.5637619981134776e-06,0.00052586687,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-101.png,Normal,5.2974401114624925e-06,0.32585534,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1010.png,Normal,5.192554453969933e-06,0.9848392,Normal,Tuberculosis
..\TB_Chest_Radiography_Database\Normal\Normal-1011.png,Normal,1.1484891729196534e-05,0.00056978076,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1012.png,Normal,0.005642815493047237,0.0070985337,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1013.png,Normal,1.2377366147120483e-05,0.08457091,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1014.png,Normal,1.812658410926815e-05,0.0077290093,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1015.png,Normal,9.664469871495385e-06,0.010760021,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1016.png,Normal,2.5434896087972447e-05,0.0008727443,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1017.png,Normal,0.00014943959831725806,0.07897549,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1018.png,Normal,4.930611339659663e-06,0.48476297,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1019.png,Normal,5.2238177886465564e-05,0.0033998566,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-102.png,Normal,0.0004155546484980732,0.83125603,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1020.png,Normal,1.419765885657398e-05,0.060768403,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1021.png,Normal,0.00019435081048868597,0.16680856,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1022.png,Normal,0.006975593976676464,0.003831655,Normal,Normal
..\TB_Chest_Radiography_Database\Normal\Normal-1023.png,Normal,5.562861588259693e-06,0.007430343,Normal,Normal
